Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
MELBOURNE INTERNATIONAL AIRPORT,1 AIR TERMINAL PKWY,MELBOURNE,32901,BREVARD,-80.63981374,28.10234868,17R NM 35381 08592,MUNICIPAL,27 373300    1,MELBOURNE INTERNATIONAL AIRPORT,ONE AIR TERMINAL PARKWAY SUITE 220 MELBOURNE FL 32901-1888,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000042,Active,FL000042,MLB,Public,Public,28.10274999,-80.64580555,,AIRPORT,-8976783.003488153,3261883.755883415
PALM BEACH COUNTY PARK AIRPORT, ,LAKE WORTH,33462,PALM BEACH,-80.08476237,26.59111825,17R NK 91133 41474,COUNTY,00434429000020010,PALM BEACH COUNTY PARK AIRPORT,2633 LANTANA RD  LANTANA FL 33462,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000078,Active,FL000078,LNA,Public,Public,26.59305555,-80.08506461,,AIRPORT,-8914994.967701834,3072479.5961202756
FERNANDINA BEACH MUNICIPAL AIRPORT,1000 AIRPORT RD,FERNANDINA BEACH,32034,NASSAU,-81.46186854,30.61046274,17R MP 55728 86523,,06-2N-28-0000-0001-0000,FERNANDINA BEACH MUNICIPAL AIRPORT,700 AIRPORT ROAD  FERNANDINA BEACH FL 32034,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000019,Active,FL000019,FHB,Public,Public,30.60968333,-81.46064722,,AIRPORT,-9068293.724446114,3582262.9759535203
ORMOND BEACH MUNICIPAL AIRPORT,770 AIRPORT RD,ORMOND BEACH,32174,VOLUSIA,-81.11384915,29.30191263,17R MN 88943 41441,MUNICIPAL,32140700000010,ORMOND BEACH MUNICIPAL AIRPORT,AIRPORT ROAD  ORMOND BEACH FL 32174,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000107,Active,FL000107,OMN,Public,Public,29.30114444,-81.11380833,,AIRPORT,-9029552.383678658,3414129.155442545
TAMPA EXECUTIVE AIRPORT,6582 EUREKA SPRINGS RD,TAMPA,33610,HILLSBOROUGH,-82.34324725,28.01652523,17R LL 67941 99760,COUNTY,202831ZZZ000002240700U,TAMPA EXECUTIVE AIRPORT,6582 EUREKA SPRINGS ROAD  TAMPA FL 33610,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000081,Active,FL000081,VDF,Public,Public,28.00863055,-82.34981388,,AIRPORT,-9166408.354403019,3251057.403277052
BOB SIKES AIRPORT, ,CRESTVIEW,32539,OKALOOSA,-86.52187658,30.77742887,16R EV 45750 05033,COUNTY,11-3N-23-0000-0003-0000,BOB SIKES AIRPORT,5545 JOHN GIVENS ROAD  CRESTVIEW FL 32536,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000012,Active,FL000012,CEW,Public,Public,30.77883611,-86.52211388,,AIRPORT,-9631571.242912613,3603877.6544756405
APALACHIACOLA REGIONAL - CLEVE RANDOLPH FIELD,28 AIRPORT RD,APALACHICOLA,32320,FRANKLIN,-85.02812057,29.72699048,16R FT 90720 90162,,,APALACHIACOLA REGIONAL - CLEVE RANDOLPH FIELD,8 AIRPORT ROAD  APALACHICOLA FL 32320,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000001,Active,FL000001,AAF,Public,Public,29.72758055,-85.02740555,,AIRPORT,-9465287.0847007,3468505.0657120696
ORLANDO INTERNATIONAL AIRPORT,1 AIRPORT BLVD,ORLANDO,32827,ORANGE,-81.2969912,28.42294087,17R MM 70913 44091,MUNICIPAL,302403000000002,ORLANDO INTERNATIONAL AIRPORT,ONE JEFF FUQUA BLVD  ORLANDO FL 32827,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000053,Active,FL000053,MCO,Public,Public,28.42888888,-81.31602777,,AIRPORT,-9049939.663412973,3302402.363111795
ORLANDO APOPKA AIRPORT, ,APOPKA,32703,ORANGE,-81.58174112,28.70721752,17R MM 43178 75687,,272035664501003,ORLANDO APOPKA AIRPORT,1321 APOPKA AIRPORT ROAD  APOPKA FL 32712,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000712,Active,FL000712,X04,Public,Private,28.70747444,-81.58196444,,AIRPORT,-9081637.879506394,3338433.9016859178
LAKE CITY GATEWAY AIRPORT, ,LAKE CITY,32025,COLUMBIA,-82.57344264,30.18222524,17R LP 48513 40023,MUNICIPAL,35-3S-17-07322-000,LAKE CITY GATEWAY AIRPORT,3524 EAST U.S. HIGHWAY 90  LAKE CITY FL 32055,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000505,Active,FL000505,LCQ,Public,Public,30.18203888,-82.57692777,,AIRPORT,-9192033.587289322,3526994.7705624863
MARION COUNTY AIRPORT,10575 SW 147TH CIR,DUNNELLON,34432,MARION,-82.37717542,29.06342135,17R LN 65938 15794,COUNTY,34801-000-00,MARION COUNTY AIRPORT,15070 SW 107TH ST DUNNELLON FL 34432,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000106,Active,FL000106,X35,Public,Public,29.06178055,-82.37658333,,AIRPORT,-9170185.221225483,3383720.63077842
NORTHWEST FLORIDA-BEACHES INTERNATIONAL AIRPORT,6300 W BAY PKWY,PANAMA CITY,32409,BAY,-85.79457031,30.35580316,16R FU 15848 58828,,,NORTHWEST FLORIDA-BEACHES INTERNATIONAL AIRPORT,6300 WEST BAY PARKWAY  PANAMA CITY BEACH FL 32409,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL001385,Active,FL001385,ECP,Public,Public,30.35824166,-85.79560277,,AIRPORT,-9550607.879511472,3549367.50080064
LEESBURG INTERNATIONAL AIRPORT,32720 ECHO DR,LEESBURG,34788,LAKE,-81.80704126,28.82231056,17R MM 21258 88566,,211925000100000100,LEESBURG INTERNATIONAL AIRPORT,8807 AIRPORT BOULEVARD  LEESBURG FL 34788,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000039,Active,FL000039,LEE,Public,Public,28.82279444,-81.80918888,,AIRPORT,-9106718.176301342,3353049.531028929
IMMOKALEE REGIONAL AIRPORT, ,IMMOKALEE,34142,COLLIER,-81.40015166,26.43215434,17R MK 60101 23605,,00088800002,IMMOKALEE REGIONAL AIRPORT,165 AIRPORT BOULEVARD  IMMOKALEE FL 34142,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000029,Active,FL000029,IMM,Public,Public,26.43316666,-81.40102777,,AIRPORT,-9061423.4334947,3052704.311295445
MIAMI INTERNATIONAL AIRPORT,2100 NW 42ND AVE,MIAMI,33122,MIAMI-DADE,-80.28411062,25.80146201,17R NJ 71765 53892,COUNTY,3030360000010,MIAMI INTERNATIONAL AIRPORT,4200 NORTHWEST 21ST STREET  MIAMI FL 33159,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000045,Active,FL000045,MIA,Public,Public,25.79536111,-80.29011111,,AIRPORT,-8937186.312654769,2974511.8700808953
MARCO ISLAND AIRPORT, ,NAPLES,34114,COLLIER,-81.67253113,25.99502759,17R MJ 32690 75306,,00744080001,MARCO ISLAND AIRPORT,2005 MAINSAIL DRIVE  NAPLES FL 34114,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000086,Active,FL000086,MKY,Public,Public,25.99504166,-81.67253055,,AIRPORT,-9091744.577347418,2998465.1023458145
CHALET SUZANNE AIR STRIP, , , ,POLK,-81.60142222,27.95379444,17R ML 40840 92229,,,CHALET SUZANNE AIR STRIP,3800 CHALET SUZANNE DRIVE  LAKE WALES FL 33859-7763,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000526,Active,FL000526,X25,Public,Private,27.95379444,-81.60142222,,AIRPORT,-9083828.769761257,3243149.573995218
VENICE MUNICIPAL AIRPORT, ,VENICE,34285,SARASOTA,-82.4401995,27.07214156,17R LK 57192 95242,MUNICIPAL,0431-06-0001,VENICE MUNICIPAL AIRPORT,150 EAST AIRPORT AVENUE  VENICE FL 34285,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000074,Active,FL000074,VNC,Public,Public,27.07161111,-82.44034722,,AIRPORT,-9177201.02946842,3132487.778201688
FT LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT,320 TERMINAL DRIVE,FORT LAUDERDALE,33315,BROWARD,-80.15471035,26.07555974,17R NJ 84542 84325,COUNTY,504228060020,FT LAUDERDALE/HOLLYWOOD INTERNATIONAL AIRPORT,2200 SOUTHWEST 45TH STREET  DANIA BEACH FL 33312,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000022,Active,FL000022,FLL,Public,Public,26.07258333,-80.15274999,,AIRPORT,-8922781.540379845,3008442.35419724
TAVARES SEAPLANE BASE, , , ,LAKE,-81.7274764,28.8008498,17R MM 29007 86138,,,TAVARES SEAPLANE BASE,150 EAST RUBY STREET  TAVARES FL 32778,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL001386,Active,FL001386,FA1,Public,Public,28.79536111,-81.72119444,,AIRPORT,-9097861.056877945,3350323.012487763
SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,16000 CHAMBERLIN PARKWAY SE,FORT MYERS,33913,LEE,-81.7551651,26.53616655,17R MK 24769 35284,COUNTY,19452600000020000,SOUTHWEST FLORIDA INTERNATIONAL AIRPORT,11000 TERMINAL ACCESS ROAD  FORT MYERS FL 33913,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000085,Active,FL000085,RSW,Public,Public,26.53616666,-81.75516666,,AIRPORT,-9100943.34920184,3065640.4474065686
LAKELAND LINDER REGIONAL AIRPORT,3400 AIRFIELD DRIVE W,LAKELAND,33811,POLK,-82.01433801,27.98914758,17R ML 00254 96414,MUNICIPAL,232904000000011010,LAKELAND LINDER REGIONAL AIRPORT,3900 DON EMERSON DRRIVE SUITE 210 LAKELAND FL 33811,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000038,Active,FL000038,LAL,Public,Public,27.98891666,-82.01855555,,AIRPORT,-9129794.345123125,3247605.6171282753
MASSEY RANCH AIRPARK,COUNTY ROAD 4136 & S AIR PARK RD,EDGEWATER,32132,VOLUSIA,-80.92485777,28.97951427,17R NN 07320 05718,,34183801000020,MASSEY RANCH AIRPARK,635 AIRPARK ROAD  EDGEWATER FL 32132,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000622,Active,FL000622,X50,Public,Private,28.978875,-80.92505277,,AIRPORT,-9008513.959985385,3373038.918299931
BOB WHITE FIELD, ,MOUNT DORA,32757,ORANGE,-81.62911898,28.73527051,17R MM 38567 78818,,272020000000018,BOB WHITE FIELD,7011 WEST JONES AVENUE  ZELLWOOD FL 32798,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000834,Active,FL000834,X61,Public,Private,28.73360555,-81.63313055,,AIRPORT,-9086911.958488205,3341994.857738302
WITHAM FIELD,2001 SE AIRPORT RD,STUART,34996,MARTIN,-80.21971212,27.1849746,17R NL 77290 07163,COUNTY,103841000001000001,WITHAM FIELD,2011 SOUTHEAST AIRPORT ROAD  STUART FL 34996,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000068,Active,FL000068,SUA,Public,Public,27.18169999,-80.22129166,,AIRPORT,-8930017.504372729,3146600.949013076
FLAGLER COUNTY AIRPORT,170 AVIATION DR,PALM COAST,32164,FLAGLER,-81.20609607,29.46985258,17R MN 80017 60060,,07-12-31-0650-000D0-000A,FLAGLER COUNTY AIRPORT,201 AIRPORT ROAD  PALM COAST FL 32164,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000008,Active,FL000008,XFL,Public,Public,29.46738888,-81.20633333,,AIRPORT,-9039821.263820749,3435584.744339159
HERNANDO COUNTY AIRPORT,2495 BROAD ST,BROOKSVILLE,34604,HERNANDO,-82.446067,28.47632683,17R LM 58440 50821,COUNTY,R24 423 18 0000 0010 0000,HERNANDO COUNTY AIRPORT,15800 FLIGHT PATH DRIVE  BROOKSVILLE FL 34604,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000007,Active,FL000007,BKV,Public,Public,28.47359722,-82.45542222,,AIRPORT,-9177854.195958646,3309161.5224678037
HERLONG RECREATIONAL AIRPORT,8977 HERLONG RD,JACKSONVILLE,32210,DUVAL,-81.80594597,30.2777875,17R MP 22484 49841,COUNTY,0090290000R,HERLONG RECREATIONAL AIRPORT,9300 NORMANDY BOULEVARD  JACKSONVILLE FL 32221-5522,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000031,Active,FL000031,HEG,Public,Public,30.27523888,-81.80537777,,AIRPORT,-9106596.248879788,3539307.0447491617
PETER O KNIGHT AIRPORT,825 SEVERN AVE,TAMPA,33606,HILLSBOROUGH,-82.45037288,27.91527826,17R LL 57275 88663,,1829364J5000054000000A,PETER O KNIGHT AIRPORT,825 SEVERN AVENUE  TAMPA FL 33606,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000071,Active,FL000071,TPF,Public,Public,27.91557777,-82.44926111,,AIRPORT,-9178333.524768455,3238296.5087788193
FLYING TEN AIRPORT, ,ARCHER,32618,ALACHUA,-82.50871997,29.61802262,17R LN 53924 77411,,04437 003 000,FLYING TEN AIRPORT,3906 SOUTHWEST 154 STREET  ARCHER FL 32618,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000237,Active,FL000237,0J8,Public,Private,29.61802222,-82.50871944,,AIRPORT,-9184828.693385974,3454544.102372948
BOB LEE FLIGHT STRIP, ,DELAND,32724,VOLUSIA,-81.31367519,29.10442653,17R MN 69478 19595,SPECIAL TAXING DISTRICT,30161700000050,BOB LEE FLIGHT STRIP,5000 BOB LEE AIRPORT ROAD  DELAND FL 32724,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000333,Active,FL000333,1J6,Public,Private,29.10442777,-81.31367499,,AIRPORT,-9051796.916969884,3388943.9178983853
SOUTH LAKELAND AIRPORT, ,MULBERRY,33860,POLK,-82.03964178,27.92999101,17R LL 97710 89881,,232930000000021020,SOUTH LAKELAND AIRPORT,7500 CORONET ROAD  MULBERRY FL 33860-8307,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000612,Active,FL000612,X49,Public,Private,27.93335805,-82.04397388,,AIRPORT,-9132611.147602275,3240150.1216438627
ALBERT WHITTED AIRPORT,341 8TH AVE SE,SAINT PETERSBURG,33701,PINELLAS,-82.62494204,27.76546453,17R LL 39874 72280,MUNICIPAL,17 31 20 00241 001 0020,ALBERT WHITTED AIRPORT,107 8TH AVENUE SOUTHEAST  SAINT PETERSBURG FL 33701,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000066,Active,FL000066,SPG,Public,Public,27.76511111,-82.62697222,,AIRPORT,-9197766.474968055,3219436.2834234647
SHELL CREEK AIRPARK, ,PUNTA GORDA,33982,CHARLOTTE,-81.91624811,26.9689761,17R MK 09067 83328,,402428100013,SHELL CREEK AIRPARK,36880 WASHINGTON LOOP ROAD  PUNTA GORDA FL 33982,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000724,Active,FL000724,F13,Public,Private,26.96894722,-81.91564166,,AIRPORT,-9118875.027809747,3119596.256635884
TAMPA INTERNATIONAL AIRPORT,5020 W TAMPA BAY BLVD,TAMPA,33607,HILLSBOROUGH,-82.52885573,27.97067709,17R LL 49628 94895,COUNTY,182907ZZZ000005454400A,TAMPA INTERNATIONAL AIRPORT,4100 GEORGE J. BEAN PARKWAY  TAMPA FL 33607,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000070,Active,FL000070,TPA,Public,Public,27.97547222,-82.54991666,,AIRPORT,-9187070.195605714,3245277.344767036
PAGE FIELD, ,FORT MYERS,33907,LEE,-81.86215674,26.58728673,17R MK 14148 41013,COUNTY,01452400000070000,PAGE FIELD,5200 CAPT. CHANNING PAGE DRIVE  FORT MYERS FL 33907-1526,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000024,Active,FL000024,FMY,Public,Public,26.58665833,-81.86328055,,AIRPORT,-9112853.603203613,3072002.628666651
CARRABELLE - THOMPSON AIRPORT,296 AIRPORT ROAD,CARRABELLE,32322,FRANKLIN,-84.70050299,29.84230656,16R GU 22161 03531,,24-07S-05W-0000-0100-0000,CARRABELLE - THOMPSON AIRPORT,296 AIRPORT ROAD  CARRABELLE FL 32322,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000027,Active,FL000027,X13,Public,Public,29.842,-84.70111111,,AIRPORT,-9428816.863280218,3483295.8845822536
PUNTA GORDA AIRPORT, ,PUNTA GORDA,33982,CHARLOTTE,-81.99111676,26.92013113,17R MK 01593 77974,OTHER PUBLIC,412310300001,PUNTA GORDA AIRPORT,28000 A-1 AIRPORT ROAD  PUNTA GORDA FL 33982-2453,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000060,Active,FL000060,PGD,Public,Public,26.92019444,-81.99051388,,AIRPORT,-9127209.367723718,3113496.727444889
PALM BEACH COUNTY GLADES AIRPORT, ,PAHOKEE,33476,PALM BEACH,-80.69335115,26.7850375,17R NK 30481 62663,COUNTY,00364225000003060,PALM BEACH COUNTY GLADES AIRPORT,3800 STATE ROAD 715  PAHOKEE FL 33476-3029,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000055,Active,FL000055,PHK,Public,Public,26.78583888,-80.69344722,,AIRPORT,-8982742.760726508,3096640.599729247
BUCHAN AIRPORT, ,ENGLEWOOD,34223,SARASOTA,-82.37401513,26.99007958,17R LK 63657 86078,SPECIAL TAXING DISTRICT,0492-01-0001,BUCHAN AIRPORT,1390 OLD ENGLEWOOD ROAD  VENICE FL 34285,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000098,Active,FL000098,X36,Public,Public,26.98978055,-82.37315,,AIRPORT,-9169833.418553509,3122232.377994023
JACKSONVILLE EXECUTIVE AT CRAIG AIRPORT,855 N ST JOHNS BLUFF RD,JACKSONVILLE,32225,DUVAL,-81.51387283,30.33631671,17R MP 50605 56164,COUNTY,1621050000R,JACKSONVILLE EXECUTIVE AT CRAIG AIRPORT,855-11 SAINT JOHNS BLUFF ROAD NORTH  JACKSONVILLE FL 32225,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000030,Active,FL000030,CRG,Public,Public,30.33632222,-81.51445,,AIRPORT,-9074082.816331824,3546853.8886429886
KEY WEST INTERNATIONAL AIRPORT,3491 S ROOSEVELT BLVD,KEY WEST,33040,MONROE,-81.75985419,24.55613,17R MH 23048 16012,COUNTY,0368 25 00064840000000,KEY WEST INTERNATIONAL AIRPORT,3491 SOUTH ROOSEVELT BOULEVARD  KEY WEST FL 33040,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000034,Active,FL000034,EYW,Public,Public,24.55612222,-81.75954444,,AIRPORT,-9101465.335652066,2821322.8921890436
JACKSONVILLE INTERNATIONAL AIRPORT,2400 YANKEE CLIPPER DR,JACKSONVILLE,32218,DUVAL,-81.68498745,30.4916152,17R MP 34261 73461,COUNTY,0192800000R,JACKSONVILLE INTERNATIONAL AIRPORT,14110 PECAN PARK ROAD  JACKSONVILLE FL 32218,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000032,Active,FL000032,JAX,Public,Public,30.49405555,-81.68786111,,AIRPORT,-9093131.20801764,3566900.215835198
WILLISTON MUNICIPAL AIRPORT,1800 SW 19TH AVE,WILLISTON,32696,LEVY,-82.47245509,29.3561805,17R LN 57069 48348,,0444200000,WILLISTON MUNICIPAL AIRPORT,1800 SOUTH WEST 19TH AVENUE  WILLISTON FL 32696,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000103,Active,FL000103,X60,Public,Public,29.35416666,-82.47277777,,AIRPORT,-9180791.704743117,3421058.4123226567
CROSS CITY AIRPORT, ,CROSS CITY,32628,DIXIE,-83.1086198,29.63341203,17R KN 95861 80023,,101012258900000001,CROSS CITY AIRPORT,1516 AIRPORT ROAD  CROSS CITY FL 32628,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000013,Active,FL000013,CTY,Public,Public,29.63444444,-83.10555555,,AIRPORT,-9251609.236613838,3456514.876601409
AIRPORT MANATEE, ,PALMETTO,34221,MANATEE,-82.52106221,27.64236641,17R LL 49944 58510,,590600059,AIRPORT MANATEE,14108 US HIGHWAY 41 NORTH  PALMETTO FL 34221,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000686,Active,FL000686,48X,Public,Private,27.64253277,-82.52092861,,AIRPORT,-9186202.624784697,3203958.741780269
KENDALL-TAMIAMI EXECUTIVE AIRPORT, ,MIAMI,33186,MIAMI-DADE,-80.43277714,25.64788744,17R NJ 56935 36812,,3059160000010,KENDALL-TAMIAMI EXECUTIVE AIRPORT,12800 SOUTH WEST 145 AVENUE  MIAMI FL 33186,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000046,Active,FL000046,TMB,Public,Public,25.64788888,-80.43277777,,AIRPORT,-8953735.794286508,2955535.249891937
RIVER RANCH RESORT AIRPORT, ,LAKE WALES,33898,POLK,-81.20363381,27.77900206,17R ML 79937 72738,,313123000000012010,RIVER RANCH RESORT AIRPORT,3600 RIVER RANCH BOULEVARD  RIVER RANCH FL 33867,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000732,Active,FL000732,2RR,Public,Private,27.78224999,-81.20534444,,AIRPORT,-9039547.166549584,3221139.469558913
NEW HIBISCUS AIRPARK, ,VERO BEACH,32966,INDIAN RIVER,-80.52795582,27.63278373,17R NL 46569 56614,,33380300001012000002.1,NEW HIBISCUS AIRPARK,1890 98TH AVENUE  VERO BEACH FL 32966,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000793,Active,FL000793,X52,Public,Private,27.632255,-80.52755444,,AIRPORT,-8964331.036657406,3202754.6108282367
UMATILLA MUNICIPAL AIRPORT, ,UMATILLA,32784,LAKE,-81.65174113,28.92276543,17R MM 36472 99603,,181827020000000001,UMATILLA MUNICIPAL AIRPORT,480 EAST CASSADY DRIVE  UMATILLA FL 32784-2286,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000023,Active,FL000023,X23,Public,Public,28.922765,-81.65174111,,AIRPORT,-9089430.24495184,3365819.4724848215
TALLAHASSEE COMMERCIAL AIRPORT,6551 N MONROE ST,TALLAHASSEE,32303,LEON,-84.373832,30.54730542,16R GU 51929 82369,,2430202020000,TALLAHASSEE COMMERCIAL AIRPORT,6601 NORTH MONROE STREET  TALLAHASSEE FL 32303,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000768,Active,FL000768,68J,Public,Private,30.54730833,-84.37384722,,AIRPORT,-9392452.014118722,3574096.639191343
BOCA RATON AIRPORT, ,BOCA RATON,33431,PALM BEACH,-80.10768894,26.37849149,17R NK 89014 17908,STATE OF FLORIDA TIITF,06424713000001010,BOCA RATON AIRPORT,"3701 FAU BLVD., SUITE 205  BOCA RATON FL 33431",http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000005,Active,FL000005,BCT,Public,Public,26.37848666,-80.10769666,,AIRPORT,-8917547.141217714,3046034.7586819264
INDIANTOWN AIRPORT, ,INDIANTOWN,34956,MARTIN,-80.44004805,27.03644153,17R NK 55538 90594,,333939000000000114,INDIANTOWN AIRPORT,20654 SOUTHWEST CITRUS BOULEVARD  INDIANTOWN FL 34956,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000447,Active,FL000447,X58,Public,Private,27.03644166,-80.44005,,AIRPORT,-8954545.188300842,3128025.3747458644
MARIANNA MUNICIPAL AIRPORT,3633 INDUSTRIAL PARK DR,MARIANNA,32446,JACKSON,-85.18570085,30.83854836,16R FV 73508 13117,COUNTY, ,MARIANNA MUNICIPAL AIRPORT,3689 INDUSTRIAL PARK DRIVE  MARIANNA FL 32446,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000041,Active,FL000041,MAI,Public,Public,30.83779388,-85.18188111,,AIRPORT,-9482828.841968711,3611799.2776217274
COSTIN AIRPORT, ,PORT SAINT JOE,32456,GULF,-85.28890015,29.75594539,16R FT 65446 92968,,06236-105R,COSTIN AIRPORT,167 CESSNA DRIVE  PORT SAINT JOE FL 32456,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000722,Active,FL000722,A51,Public,Private,29.75854444,-85.28908333,,AIRPORT,-9494316.935554307,3472217.316089894
ZEPHYRHILLS MUNICIPAL AIRPORT,39506 SOUTH AVE,ZEPHYRHILLS,33542,PASCO,-82.16035086,28.22740591,17R LM 86147 22939,MUNICIPAL,2126130000001000000,ZEPHYRHILLS MUNICIPAL AIRPORT,39450 SOUTH AVENUE  ZEPHYRHILLS FL 33542,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000080,Active,FL000080,ZPH,Public,Public,28.22806388,-82.15591638,,AIRPORT,-9146048.421086995,3277674.8420989914
FT WALTON BEACH AIRPORT, ,NAVARRE,32566,SANTA ROSA,-86.82912423,30.40630862,16R EU 16413 63821,,21-2S-26-0780-00G00-0000,FT WALTON BEACH AIRPORT,9401 NAVARRE PARKWAY  NAVARRE FL 32566,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000617,Active,FL000617,1J9,Public,Private,30.40656944,-86.82912499,,AIRPORT,-9665773.895377534,3555884.676423312
EXECUTIVE AIRPORT,501 HERNDON AVE,ORLANDO,32803,ORANGE,-81.33545341,28.54434492,17R MM 67184 57550,,302229000000016,EXECUTIVE AIRPORT,365 RICKENBACKER DRIVE  ORLANDO FL 32803,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000054,Active,FL000054,ORL,Public,Public,28.54547222,-81.33294444,,AIRPORT,-9054221.25659095,3317778.198574832
ARTHUR DUNN AIR PARK,465 SINGLETON AVE N,TITUSVILLE,32796,BREVARD,-80.83535601,28.62270572,17R NM 16094 66196,COUNTY,21 353200  751,ARTHUR DUNN AIR PARK,476 NORTH WILLIAMS AVENUE  TITUSVILLE FL 32780,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000082,Active,FL000082,X21,Public,Public,28.62255166,-80.83540972,,AIRPORT,-8998550.669171814,3327712.011378458
ARCADIA MUNICIPAL AIRPORT, ,ARCADIA,34266,DESOTO,-81.8380372,27.19625744,17R ML 16997 08450,,05-38-25-0000-0310-0000,ARCADIA MUNICIPAL AIRPORT,"2269 SOUTHEAST A.C. POLK, JR. DRIVE  ARCADIA FL 34266",http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000104,Active,FL000104,X06,Public,Public,27.19199444,-81.83730277,,AIRPORT,-9110168.628332838,3148012.9933971916
INVERNESS AIRPORT,3528 S AIRPORT RD,INVERNESS,34452,CITRUS,-82.31552769,28.81142692,17R LM 71629 87803,,20E19S28      34000,INVERNESS AIRPORT,3528 SOUTH AIRPORT ROAD  INVERNESS FL 34450,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000091,Active,FL000091,INF,Public,Public,28.80859722,-82.31648055,,AIRPORT,-9163322.627381371,3351666.731192049
