Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
OKEECHOBEE COUNTY AIRPORT, ,OKEECHOBEE,34972,OKEECHOBEE,-80.85449632,27.26605382,17R NL 14402 15912,COUNTY,1-08-37-35-0A00-00001-0000,OKEECHOBEE COUNTY AIRPORT,2800 NORTH WEST 20TH TRAIL  OKEECHOBEE FL 34972,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000052,Active,FL000052,OBE,Public,Public,27.26611111,-80.85015555,,AIRPORT,-9000681.358958019,3156751.162392118
OPA-LOCKA EXECUTIVE AIRPORT,14201 NW 42ND AVE,OPA LOCKA,33054,MIAMI-DADE,-80.27905005,25.90512331,17R NJ 72210 65375,FEDERAL,0821200000010,OPA-LOCKA EXECUTIVE AIRPORT,14201 NORTHWEST  LEJEUNE ROAD  OPA-LOCKA FL 33054,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000043,Active,FL000043,OPF,Public,Public,25.907025,-80.27838888,,AIRPORT,-8936622.972429488,2987334.79663481
VERO BEACH MUNICIPAL AIRPORT,3400 CHEROKEE DR,VERO BEACH,32960,INDIAN RIVER,-80.4218488,27.65558392,17R NL 57025 59184,,32392600011000000000.1,VERO BEACH MUNICIPAL AIRPORT,3400 CHEROKEE DRIVE P.O. BOX 1389 VERO BEACH FL 32961-1389,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000075,Active,FL000075,VRB,Public,Public,27.65555833,-80.41794444,,AIRPORT,-8952519.257142603,3205619.7875238233
PLANT CITY AIRPORT,4007 N AIRPORT RD,PLANT CITY,33566,HILLSBOROUGH,-82.16423799,28.0002166,17R LL 85524 97772,,212836ZZZ000005982600P,PLANT CITY AIRPORT,4007 AIRPORT ROAD  PLANT CITY FL 33563,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000059,Active,FL000059,PCM,Public,Public,28.00021666,-82.16424166,,AIRPORT,-9146481.133943932,3249001.098268973
ORLANDO SANFORD INTERNATIONAL AIRPORT,1 RED CLEVELAND BLVD,SANFORD,32773,SEMINOLE,-81.23486709,28.78176109,17R MM 77076 83829,,05203130000100000,ORLANDO SANFORD INTERNATIONAL AIRPORT,1200 RED CLEVELAND BOULEVARD  SANFORD FL 32773-6844,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000062,Active,FL000062,SFB,Public,Public,28.77764,-81.23748944,,AIRPORT,-9043024.038907556,3347898.3267161762
TRI-COUNTY AIRPORT, ,BONIFAY,32425,HOLMES,-85.60102606,30.84766644,16R FV 33772 13557,,0511.00-000-000-004.000,TRI-COUNTY AIRPORT,1983 AIRPORT ROAD  BONIFAY FL 32425,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000006,Active,FL000006,1J0,Public,Public,30.84577777,-85.60138888,,AIRPORT,-9529062.63200616,3612981.4933707346
HILLIARD AIRPARK, ,HILLIARD,32046,NASSAU,-81.90642958,30.68795277,17R MP 13184 95370,,09-3N-24-0000-0031-0010,HILLIARD AIRPARK,37776 EAST WOOD ROAD  HILLIARD FL 32046,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000094,Active,FL000094,01J,Public,Public,30.68801111,-81.90594444,,AIRPORT,-9117782.033942608,3592289.8349847486
SUWANNEE COUNTY AIRPORT,13530 80TH TER,LIVE OAK,32060,SUWANNEE,-83.02466981,30.30036759,17R LP 05295 53805,COUNTY,2102S13E05267000000,SUWANNEE COUNTY AIRPORT,13308 80TH TERRACE  LIVE OAK FL 32060,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000093,Active,FL000093,24J,Public,Public,30.30169999,-83.02359999,,AIRPORT,-9242263.966027765,3542218.0219126237
NEW SMYRNA BEACH MUNICIPAL AIRPORT,602 SKYLINE DR,NEW SMYRNA BEACH,32168,VOLUSIA,-80.94790484,29.05442385,17R NN 05071 14016,,33174001000010,NEW SMYRNA BEACH MUNICIPAL AIRPORT,600 SKYLINE DRIVE  NEW SMYRNA FL 32168,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000621,Active,FL000621,EVB,Public,Public,29.05569444,-80.94890833,,AIRPORT,-9011079.547795849,3382574.796230657
ST GEORGE ISLAND AIRPORT,1501 LONG POINT ROAD,EASTPOINT,32328,FRANKLIN,-84.91197419,29.6413725,16R GT 02128 80869,,,ST GEORGE ISLAND AIRPORT,1501 LONG POINT ROAD  ST. GOERGE ISLAND FL 32328,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000229,Active,FL000229,F47,Public,Private,29.64458402,-84.91559894,,AIRPORT,-9452357.729444206,3457534.4163041566
PALATKA MUNICIPAL AIRPORT,4015 REID ST,PALATKA,32177,PUTNAM,-81.68954526,29.65826129,17R MN 33267 81117,MUNICIPAL,03-10-26-0000-0010-0000,PALATKA MUNICIPAL-LT. KAY LARKIN FIELD,4015 REID STREET  PALATKA FL 32177,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000056,Active,FL000056,28J,Public,Public,29.65858055,-81.68869444,,AIRPORT,-9093638.581045263,3459697.7204315336
QUINCY MUNICIPAL AIRPORT, ,QUINCY,32352,GADSDEN,-84.55741809,30.59785959,16R GU 34190 87577,MUNICIPAL,3-05-2N-3W-0000-00420-0000,QUINCY MUNICIPAL AIRPORT,1300 AIRPORT DRIVE  QUINCY FL 32351,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000061,Active,FL000061,2J9,Public,Public,30.59786111,-84.55743888,,AIRPORT,-9412888.724514503,3580632.9452712894
BELLE GLADE STATE MUNICIPAL AIRPORT, ,BELLE GLADE,33430,PALM BEACH,-80.66595081,26.69830099,17R NK 33230 53063,,00374329000007010,BELLE GLADE STATE MUNICIPAL AIRPORT,250 GATOR BOULEVARD  BELLE GLADE FL 33430,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000101,Active,FL000101,X10,Public,Public,26.69830555,-80.66080555,,AIRPORT,-8979692.568772664,3085828.7463717707
DADE-COLLIER TRAINING AND TRANSITION AIRPORT, ,OCHOPEE,34141,COLLIER,-80.89760428,25.86181438,17R NJ 10259 60384,,01233520000,DADE-COLLIER TRAINING AND TRANSITION AIRPORT,54757 EAST TAMIAMI TRAIL  OCHOPPI FL 34141,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000044,Active,FL000044,TNT,Public,Public,25.86180555,-80.897,,AIRPORT,-9005480.114421694,2981976.104839176
MIAMI SEAPLANE BASE, , , ,MIAMI-DADE,-80.17722607,25.78338898,17R NJ 82493 51953,,,MIAMI SEAPLANE BASE,1000 MACAURTHUR CAUSEWAY  MIAMI FL 33132,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000100,Active,FL000100,X44,Public,Public,25.77833333,-80.17027777,,AIRPORT,-8925287.978773892,2972277.3809777726
MERRITT ISLAND AIRPORT,900 AIRPORT RD,MERRITT ISLAND,32952,BREVARD,-80.68550106,28.34158861,17R NM 30824 35082,COUNTY,25 360100    4,MERRITT ISLAND AIRPORT,900 AIRPORT RD.  MERRITT ISLAND FL 32952,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000011,Active,FL000011,COI,Public,Public,28.34158888,-80.68549722,,AIRPORT,-8981868.892449362,3292108.959075571
THE FLORIDA KEYS MARATHON AIRPORT,9400 OVERSEAS HWY,MARATHON,33050,MONROE,-81.05044031,24.72653649,17R MH 94898 34669,COUNTY,0166 32 00101160000000,THE FLORIDA KEYS MARATHON AIRPORT,"9400 OVERSEAS HIGHWAY, SUITE 200  MARATHON FL 33050",http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000040,Active,FL000040,MTH,Public,Public,24.72618277,-81.05136777,,AIRPORT,-9022493.744217198,2842192.9894193676
GAINESVILLE REGIONAL AIRPORT,3880 NE 39 AVE STE A,GAINESVILLE,32609,ALACHUA,-82.2720428,29.68900721,17R LN 76928 85002,,08161 000 000,GAINESVILLE REGIONAL AIRPORT,3880 NORTHEAST 39TH AVENUE  GAINESVILLE FL 32609,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000025,Active,FL000025,GNV,Public,Public,29.69005555,-82.27177777,,AIRPORT,-9158481.911000136,3463636.9305681325
