,CITY,COUNTY,FACILITY_TYPE,SHELTER_TYPE,Risk_Capacity_Spaces,Evacuation_Zone,General_Pop,SPECIAL_NEEDS,Pet_Friendly,rsig_Longitude,rsig_Latitude,Longitude,Latitude,rsisn_Longitude,rsisn_Latitude
732,Leesburg,LAKE,SHELTER,RISK,385,No,Yes, , ,-81.89512103, 28.82689501,,,,
733,Lady Lake,LAKE,SHELTER,RISK,306,No,Yes, , ,-81.93559297, 28.93017200,,,,
734,Groveland,LAKE,SHELTER,RISK,350,No,Yes, , ,-81.81766604, 28.57413399,,,,
735,Clermont,LAKE,SHELTER,RISK,279,No,Yes, , ,-81.78670203, 28.49556701,,,,
736,Leesburg,LAKE,SHELTER,RISK,187,No,Yes, ,Yes,-81.78018200, 28.84559701,-81.78018200, 28.84559701,,
737,Leesburg,LAKE,SHELTER,RISK,563,No,Yes, , ,-81.89512103, 28.82689501,,,,
738,Minneola,LAKE,SHELTER,RISK,2636,No,Yes, , ,-81.72943509, 28.58294572,,,,
739,Mascotte,LAKE,SHELTER,RISK,1512,No,Yes, , ,-81.88567303, 28.57234001,,,,
740,Astatula,LAKE,SHELTER,RISK,231,No,Yes, ,Yes,-81.72578697, 28.71083499,-81.72578697, 28.71083499,,
741,Mt. Dora,LAKE,SHELTER,RISK,209,No,Yes, ,Yes,-81.59358097, 28.80536701,-81.59358097, 28.80536701,,
742,Groveland,LAKE,SHELTER,RISK,199,No,Yes, , ,-81.81766604, 28.57413399,,,,
743,Tavares,LAKE,SHELTER,RISK,517,No,Yes, , ,-81.72844202, 28.80699499,,,,
744,Umatilla,LAKE,SHELTER,RISK,467,No,Yes, , ,-81.66429901, 28.93057702,,,,
745,Groveland,LAKE,SHELTER,RISK,110,No,Yes, , ,-81.81766604, 28.57413399,,,,
746,Mt. Dora,LAKE,SHELTER,RISK,187,No,Yes, ,Yes,-81.59358097, 28.80536701,-81.59358097, 28.80536701,,
747,Fruitland Park,LAKE,SHELTER,RISK,247,No,Yes, , ,-81.90962801, 28.85966599,,,,
748,Mount Dora,LAKE,SHELTER,RISK,547,No,Yes, , ,-81.63509998, 28.80254500,,,,
749,Eustis,LAKE,SHELTER,RISK,625,No,Yes, , ,-81.64613400, 28.85950799,,,,
750,Minneola,LAKE,SHELTER,RISK,1512,No,Yes, , ,-81.74153598, 28.58068801,,,,
751,Lee,LAKE,SHELTER,RISK,232,No,Yes, ,Yes,-81.64613400, 28.85950799,-81.64613400, 28.85950799,,
752,Leesburg,LAKE,SHELTER,RISK,198,No,Yes, , ,-81.88192800, 28.82980898,,,,
753,Umatilla,LAKE,SHELTER,RISK,192,No,Yes, , ,-81.66429901, 28.93057702,,,,
754,Groveland,LAKE,SHELTER,RISK,753,No,Yes, , ,-81.81766604, 28.57413399,,,,
755,Leesburg,LAKE,SHELTER,RISK,244,No,Yes, ,Yes,-81.78018200, 28.84559701,-81.78018200, 28.84559701,,
756,Eustis,LAKE,SHELTER,RISK,190,No,Yes, , ,-81.52552897, 28.85810398,,,,
757,Clermont,LAKE,SHELTER,RISK,346,No,Yes, , ,-81.71594796, 28.53872899,,,,
758,Umatilla,LAKE,SHELTER,RISK,186,No,Yes, ,Yes,-81.66641602, 28.92840799,-81.66641602, 28.92840799,,
759,Tavares,LAKE,SHELTER,RISK,599,No,Yes, ,Yes,-81.74224577, 28.77189104,-81.74224577, 28.77189104,,
760,Lady Lake,LAKE,SHELTER,RISK,213,No,Yes, , ,-81.93559297, 28.93017200,,,,
761,Astatula,LAKE,SHELTER,RISK,312,No,Yes, ,Yes,-81.72578697, 28.71083499,-81.72578697, 28.71083499,,
762,Clermont,LAKE,SHELTER,RISK,230,No,Yes, ,Yes,-81.72159139, 28.52567145,-81.72159139, 28.52567145,,
763,Lessburg,LAKE,SHELTER,RISK,434,No,Yes, , ,-81.89512103, 28.82689501,,,,
764,Clermont,LAKE,SHELTER,RISK,42,No,Yes, , ,-81.78670203, 28.49556701,,,,
765,Groveland,LAKE,SHELTER,RISK,402,No,Yes, , ,-81.81766604, 28.57413399,,,,
766,Groveland,LAKE,SHELTER,RISK,377,No,Yes, , ,-81.81766604, 28.57413399,,,,
767,Leesburg,LAKE,SHELTER,RISK,673,No,Yes, , ,-81.87699196, 28.81279967,,,,
768,Leesburg,LAKE,SHELTER,RISK,714,No,Yes, , ,-81.89512103, 28.82689501,,,,
769,Mt. Dora,LAKE,SHELTER,RISK,273,No,Yes, ,Yes,-81.59358097, 28.80536701,-81.59358097, 28.80536701,,
770,Groveland,LAKE,SHELTER,RISK,614,No,Yes, , ,-81.84660297, 28.55365800,,,,
771,Clermont,LAKE,SHELTER,RISK,213,No,Yes, , ,-81.78670203, 28.49556701,,,,
772,Leesburg,LAKE,SHELTER,RISK,213,No,Yes, , ,-81.88192800, 28.82980898,,,,
773,Mount Dora,LAKE,SHELTER,RISK,258,No,Yes, , ,-81.63509998, 28.80254500,,,,
774,Mount Dora,LAKE,SHELTER,RISK,130,No,Yes, , ,-81.63509998, 28.80254500,,,,
775,Clemont,LAKE,SHELTER,RISK,581,No,Yes, , ,-81.72005702, 28.53894701,,,,
776,Paisley,LAKE,SHELTER,RISK,164,No,Yes, , ,-81.54179397, 28.99536900,,,,
777,Lehigh Acres,LEE,SHELTER,RISK,1372,C,Yes, , ,-81.68955301, 26.61857701,,,,
778,Lehigh Acres,LEE,SHELTER,RISK,2475,C,Yes, , ,-81.69331003, 26.63923999,,,,
779,Lehigh Acres,LEE,SHELTER,RISK,2608,D,Yes, , ,-81.71793397, 26.62959301,,,,
780,Lehigh Acres,LEE,SHELTER,RISK,2000,No,Yes, , ,-81.60184603, 26.55789999,,,,
781,Lehigh Acres,LEE,SHELTER,RISK,198,E,Yes, , ,-81.61450002, 26.56904499,,,,
782,Lehigh Acres,LEE,SHELTER,RISK,823,C,Yes, , ,-81.68955301, 26.61857701,,,,
783,Lehigh Acres,LEE,SHELTER,RISK,235,E,Yes, , ,-81.61450002, 26.56904499,,,,
784,N. Ft. Myers,LEE,SHELTER,RISK,1650,C,Yes, , ,-81.88822004, 26.68837802,,,,
785,Lehigh Acres,LEE,SHELTER,RISK,65,E,Yes, , ,-81.61450002, 26.56904499,,,,
786,Lehigh Acres,LEE,SHELTER,RISK,305,E,Yes, , ,-81.61450002, 26.56904499,,,,
787,Lehigh Acres,LEE,SHELTER,RISK,806,E,Yes, , ,-81.61450002, 26.56904499,,,,
788,Lehigh Acres,LEE,SHELTER,RISK,25,E,Yes, , ,-81.63134899, 26.59422800,,,,
789,Lehigh Acres,LEE,SHELTER,RISK,294,E,Yes, , ,-81.61450002, 26.56904499,,,,
790,Lehigh Acres,LEE,SHELTER,RISK,568,C,Yes, , ,-81.68955301, 26.61857701,,,,
791,Lehigh Acres,LEE,SHELTER,RISK,371,E,Yes, , ,-81.61450002, 26.56904499,,,,
792,Lehigh Acres,LEE,SHELTER,RISK,163,E,Yes, , ,-81.61450002, 26.56904499,,,,
793,Tallahassee,LEON,SHELTER,RISK,158,No,Yes, , ,-84.31739197, 30.43519200,,,,
794,Tallahassee,LEON,SHELTER,RISK,158,No,Yes, , ,-84.31739197, 30.43519200,,,,
795,Tallahassee,LEON,SHELTER,RISK,158,No,Yes, , ,-84.12248104, 30.43622700,,,,
796,Tallahassee,LEON,SHELTER,RISK,411,No,Yes, , ,-84.22395102, 30.38406998,,,,
797,Tallahassee,LEON,SHELTER,RISK,411,No,Yes, , ,-84.24110299, 30.60791700,,,,
798,Tallahassee,LEON,SHELTER,RISK,411,No,Yes, , ,-84.24110299, 30.60791700,,,,
799,Tallahassee,LEON,SHELTER,RISK,241,No,Yes, , ,-84.28258049, 30.38760292,,,,
800,Tallahassee,LEON,SHELTER,RISK,330,No,Yes, , ,-84.34680198, 30.51014101,,,,
801,Tallahassee,LEON,SHELTER,RISK,361,No,Yes, , ,-84.27611504, 30.55681199,,,,
802,Tallahassee,LEON,SHELTER,RISK,1962,No,Yes, , ,-84.29861240, 30.44249101,,,,
803,Tallahassee,LEON,SHELTER,RISK,237,No,Yes, , ,-84.22504152, 30.53694463,,,,
804,Tallahassee,LEON,SHELTER,RISK,103,No,Yes, , ,-84.22504152, 30.53694463,,,,
805,Tallahassee,LEON,SHELTER,RISK,293,No,Yes, , ,-84.33961801, 30.49309800,,,,
806,Tallahassee,LEON,SHELTER,RISK,293,No,Yes, , ,-84.12248104, 30.43622700,,,,
807,Tallahassee,LEON,SHELTER,RISK,217,No,Yes, , ,-84.18137699, 30.46089498,,,,
808,Tallahassee,LEON,SHELTER,RISK,67,No,Yes, , ,-84.22373401, 30.41347101,,,,
809,Tallahassee,LEON,SHELTER,RISK,77,No,Yes, , ,-84.24110299, 30.60791700,,,,
810,Tallahassee,LEON,SHELTER,RISK,276,No,Yes, , ,-84.22373401, 30.41347101,,,,
811,Tallahassee,LEON,SHELTER,RISK,276,No,Yes, , ,-84.24110299, 30.60791700,,,,
812,Tallahassee,LEON,SHELTER,RISK,519,No,Yes, , ,-84.29760982, 30.44144564,,,,
813,Tallahassee,LEON,SHELTER,RISK,250,No,Yes, , ,-84.18137699, 30.46089498,,,,
814,Tallahassee,LEON,SHELTER,RISK,250,No,Yes, , ,-84.19124212, 30.52619716,,,,
815,Tallahassee,LEON,SHELTER,RISK,347,No,Yes, , ,-84.27611504, 30.55681199,,,,
816,Tallahassee,LEON,SHELTER,RISK,96,No,Yes, , ,-84.12248104, 30.43622700,,,,
817,Tallahassee,LEON,SHELTER,RISK,517,No,Yes, , ,-84.31746397, 30.42027699,,,,
818,Tallahassee,LEON,SHELTER,RISK,278,No,Yes, , ,-84.51420401, 30.43848802,,,,
819,Tallahassee,LEON,SHELTER,RISK,278,No,Yes, , ,-84.34680198, 30.51014101,,,,
820,Tallahassee,LEON,SHELTER,RISK,557,No,Yes, , ,-84.19124212, 30.52619716,,,,
821,Tallahassee,LEON,SHELTER,RISK,52,No,Yes, , ,-84.25674798, 30.43212900,,,,
822,Tallahassee,LEON,SHELTER,RISK,247,No,Yes, , ,-84.22504152, 30.53694463,,,,
823,Tallahassee,LEON,SHELTER,RISK,247,No,Yes, , ,-84.12248104, 30.43622700,,,,
824,Tallahassee,LEON,SHELTER,RISK,200,No,Yes, , ,-84.27611504, 30.55681199,,,,
825,Tallahassee,LEON,SHELTER,RISK,218,No,Yes, , ,-84.34680198, 30.51014101,,,,
826,Tallahassee,LEON,SHELTER,RISK,59,No,Yes, , ,-84.31739197, 30.43519200,,,,
827,Tallahassee,LEON,SHELTER,RISK,59,No,Yes, , ,-84.25674798, 30.43212900,,,,
828,Tallahassee,LEON,SHELTER,RISK,252,No,Yes, , ,-84.33961801, 30.49309800,,,,
829,Tallahassee,LEON,SHELTER,RISK,252,No,Yes, , ,-84.12248104, 30.43622700,,,,
830,Tallahassee,LEON,SHELTER,RISK,363,No,Yes, , ,-84.17958401, 30.53034098,,,,
831,Tallahassee,LEON,SHELTER,RISK,113,No,Yes, , ,-84.51420401, 30.43848802,,,,
832,Tallahassee,LEON,SHELTER,RISK,116,No,Yes, , ,-84.25674798, 30.43212900,,,,
833,Tallahassee,LEON,SHELTER,RISK,196,No,Yes, , ,-84.12248104, 30.43622700,,,,
834,Tallahassee,LEON,SHELTER,RISK,196,No,Yes, , ,-84.33961801, 30.49309800,,,,
835,Tallahassee,LEON,SHELTER,RISK,142,No,Yes, , ,-84.18137699, 30.46089498,,,,
836,Tallahassee,LEON,SHELTER,RISK,234,No,Yes, , ,-84.22395102, 30.38406998,,,,
837,Tallahassee,LEON,SHELTER,RISK,320,No,Yes, , ,-84.19124212, 30.52619716,,,,
838,Tallahassee,LEON,SHELTER,RISK,251,No,Yes, , ,-84.22504152, 30.53694463,,,,
839,Tallahassee,LEON,SHELTER,RISK,352,No,Yes, , ,-84.28648203, 30.46279701,,,,
840,Tallahassee,LEON,SHELTER,RISK,1134,No,Yes, , ,-84.29018901, 30.43833702,,,,
841,Tallahassee,LEON,SHELTER,RISK,172,No,Yes, , ,-84.28258049, 30.38760292,,,,
842,Tallahassee,LEON,SHELTER,RISK,48,No,Yes, , ,-84.25674798, 30.43212900,,,,
843,Tallahassee,LEON,SHELTER,RISK,114,No,Yes, , ,-84.31739197, 30.43519200,,,,
844,Tallahassee,LEON,SHELTER,RISK,211,No,Yes, , ,-84.51420401, 30.43848802,,,,
845,Tallahassee,LEON,SHELTER,RISK,366,No,Yes, , ,-84.24110299, 30.60791700,,,,
846,Tallahassee,LEON,SHELTER,RISK,266,No,Yes, , ,-84.34680198, 30.51014101,,,,
847,Tallahassee,LEON,SHELTER,RISK,367,No,Yes, , ,-84.22395102, 30.38406998,,,,
848,Tallahassee,LEON,SHELTER,RISK,73,No,Yes, , ,-84.31739197, 30.43519200,,,,
849,Tallahassee,LEON,SHELTER,RISK,541,No,Yes, , ,-84.19124212, 30.52619716,,,,
850,Tallahassee,LEON,SHELTER,RISK,317,No,Yes, , ,-84.22504152, 30.53694463,,,,
851,Tallahassee,LEON,SHELTER,RISK,414,No,Yes, , ,-84.30213004, 30.44656000,,,,
852,Tallahassee,LEON,SHELTER,RISK,93,No,Yes, , ,-84.22504152, 30.53694463,,,,
853,Tallahassee,LEON,SHELTER,RISK,93,No,Yes, , ,-84.18137699, 30.46089498,,,,
854,Tallahassee,LEON,SHELTER,RISK,268,No,Yes, , ,-84.27611504, 30.55681199,,,,
855,Tallahassee,LEON,SHELTER,RISK,156,No,Yes, , ,-84.33961801, 30.49309800,,,,
856,Tallahassee,LEON,SHELTER,RISK,57,No,Yes, , ,-84.25674798, 30.43212900,,,,
857,Tallahassee,LEON,SHELTER,RISK,244,No,Yes, , ,-84.18137699, 30.46089498,,,,
858,Tallahassee,LEON,SHELTER,RISK,263,No,Yes, , ,-84.27611504, 30.55681199,,,,
859,Tallahassee,LEON,SHELTER,RISK,68,No,Yes, , ,-84.33961801, 30.49309800,,,,
860,Tallahassee,LEON,SHELTER,RISK,725,No,Yes, , ,-84.51420401, 30.43848802,,,,
861,Tallahassee,LEON,SHELTER,RISK,375,No,Yes, , ,-84.34680198, 30.51014101,,,,
862,Tallahassee,LEON,SHELTER,RISK,322,No,Yes, , ,-84.18137699, 30.46089498,,,,
863,Tallahassee,LEON,SHELTER,RISK,452,No,Yes, , ,-84.22395102, 30.38406998,,,,
864,Chiefland,LEVY,SHELTER,RISK,241,No,Yes, , ,-82.87004308, 29.48204587,,,,
865,Williston,LEVY,SHELTER,RISK,300,No,Yes, , ,-82.45231717, 29.37411229,,,,
866,Bronson,LEVY,SHELTER,RISK,281,No,Yes, , ,-82.62603543, 29.46379616,,,,
867,Williston,LEVY,SHELTER,RISK,217,No,Yes, , ,-82.45008560, 29.38523231,,,,
868,Bronson,LEVY,SHELTER,RISK,354,No,Yes, , ,-82.62603543, 29.46379616,,,,
869,Chiefland,LEVY,SHELTER,RISK,256,No,Yes, ,Yes,-82.87052000, 29.48034999,-82.87052000, 29.48034999,,
870,Bronson,LEVY,SHELTER,RISK,275,No,Yes, , ,-82.62903997, 29.46168998,,,,
871,Chiefland,LEVY,SHELTER,RISK,362,No,Yes, ,Yes,-82.87052000, 29.48034999,-82.87052000, 29.48034999,,
872,Bronson,LEVY,SHELTER,RISK,577,No,Yes, , ,-82.62603543, 29.46379616,,,,
873,Williston,LEVY,SHELTER,RISK,251,No,Yes, , ,-82.45019479, 29.38519086,,,,
874,Bronson,LEVY,SHELTER,RISK,720,No,Yes, , ,-82.62603543, 29.46379616,,,,
875,Williston,LEVY,SHELTER,RISK,46,No,Yes, , ,-82.45231717, 29.37411229,,,,
876,Chiefland,LEVY,SHELTER,RISK,313,No,Yes, ,Yes,-82.87052000, 29.48034999,-82.87052000, 29.48034999,,
877,Chiefland,LEVY,SHELTER,RISK,256,No,Yes, , ,-82.86202997, 29.48533001,,,,
878,Williston,LEVY,SHELTER,RISK,252,No,Yes, , ,-82.45180999, 29.38436001,,,,
879,Bronson,LEVY,SHELTER,RISK,165,No,Yes, , ,-82.62603543, 29.46379616,,,,
880,Bristol,LIBERTY,SHELTER,RISK,381,No,Yes, , ,-84.92443638, 30.47810003,,,,
881,Hosford,LIBERTY,SHELTER,RISK,220,No,Yes, , ,-84.79835985, 30.38888220,,,,
882,Bristol,LIBERTY,SHELTER,RISK,548,No,Yes, , ,-84.92443638, 30.47810003,,,,
883,Bristol,LIBERTY,SHELTER,RISK,185,No,Yes, , ,-84.92443638, 30.47810003,,,,
884,Bristol,LIBERTY,SHELTER,RISK,63,No,Yes, , ,-84.92443638, 30.47810003,,,,
885,Bristol,LIBERTY,SHELTER,RISK,223,No,Yes, , ,-84.97560003, 30.43101999,,,,
886,Madison,MADISON,SHELTER,RISK,101,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
887,Madison,MADISON,SHELTER,RISK,434,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
888,Madison,MADISON,SHELTER,RISK,259,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
889,Madison,MADISON,SHELTER,RISK,324,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
890,Madison,MADISON,SHELTER,RISK,559,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
891,Madison,MADISON,SHELTER,RISK,390,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
892,Madison,MADISON,SHELTER,RISK,98,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
893,Madison,MADISON,SHELTER,RISK,329,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
894,Madison,MADISON,SHELTER,RISK,448,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
895,Madison,MADISON,SHELTER,RISK,360,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
896,Madison,MADISON,SHELTER,RISK,131,No,Yes, ,Yes,-83.44554999, 30.47853001,-83.44554999, 30.47853001,,
897,Parrish,MANATEE,SHELTER,RISK,876,No,Yes, , ,-82.42352702, 27.54391401,,,,
898,Palmetto,MANATEE,SHELTER,RISK,322,No,Yes, , ,-82.49036700, 27.57522600,,,,
899,Bradenton,MANATEE,SHELTER,RISK,390,D,Yes, , ,-82.60074702, 27.44695899,,,,
900,Bradenton,MANATEE,SHELTER,RISK,866,No,Yes, , ,-82.42236403, 27.46164601,,,,
901,Parrish,MANATEE,SHELTER,RISK,333,No,Yes, , ,-82.42352702, 27.54391401,,,,
902,Bradenton,MANATEE,SHELTER,RISK,1855,No,Yes, , ,-82.39389297, 27.42726500,,,,
903,Bradenton,MANATEE,SHELTER,RISK,2134,E,Yes, , ,-82.59669404, 27.47139199,,,,
904,Palmetto,MANATEE,SHELTER,RISK,493,No,Yes, , ,-82.48851703, 27.57515802,,,,
905,Bradenton,MANATEE,SHELTER,RISK,392,D,Yes, , ,-82.60074702, 27.44695899,,,,
906,Palmetto,MANATEE,SHELTER,RISK,200,No,Yes, , ,-82.48851703, 27.57515802,,,,
907,Palmetto,MANATEE,SHELTER,RISK,1985,No,Yes, ,Yes,-82.49036700, 27.57522600,-82.49036700, 27.57522600,,
908,Palmetto,MANATEE,SHELTER,RISK,1614,No,Yes, , ,-82.48851703, 27.57515802,,,,
909,Palmetto,MANATEE,SHELTER,RISK,153,No,Yes, , ,-82.48851703, 27.57515802,,,,
910,Bradenton,MANATEE,SHELTER,RISK,357,D,Yes, , ,-82.60074702, 27.44695899,,,,
911,Myakka City,MANATEE,SHELTER,RISK,206,No,Yes, , ,-82.16150797, 27.35124101,,,,
912,Bradenton,MANATEE,SHELTER,RISK,126,No,Yes, , ,-82.43563803, 27.42993300,,,,
913,Bradenton,MANATEE,SHELTER,RISK,339,No,Yes, , ,-82.42236403, 27.46164601,,,,
914,Bradenton,MANATEE,SHELTER,RISK,693,No,Yes, , ,-82.43304802, 27.44240200,,,,
915,Bradenton,MANATEE,SHELTER,RISK,2080,E,Yes, , ,-82.60293101, 27.49374501,,,,
916,Palmetto,MANATEE,SHELTER,RISK,394,No,Yes, , ,-82.48851703, 27.57515802,,,,
917,Ocala,MARION,SHELTER,RISK,268,No,Yes, , ,-82.06689104, 29.14138100,,,,
918,Citra,MARION,SHELTER,RISK,227,No,Yes, , ,-82.09519500, 29.38770500,,,,
919,Ocala,MARION,SHELTER,RISK,605,No,Yes, , ,-82.19111897, 29.00479801,,,,
920,Ocala,MARION,SHELTER,RISK,282,No,Yes, , ,-82.13598399, 29.21699302,,,,
921,Ocala,MARION,SHELTER,RISK,220,No,Yes, , ,-82.19502100, 29.08699800,,,,
922,Belleview,MARION,SHELTER,RISK,545,No,Yes, , ,-82.08668721, 29.06757734,,,,
923,Ocala,MARION,SHELTER,RISK,194,No,Yes, , ,-82.19520900, 29.14940701,,,,
924,Ocala,MARION,SHELTER,RISK,401,No,Yes, , ,-81.97848300, 29.07828400,,,,
925,Ocala,MARION,SHELTER,RISK,262,No,Yes, , ,-82.19520900, 29.14940701,,,,
926,Ocala,MARION,SHELTER,RISK,785,No,Yes, , ,-81.97848300, 29.07828400,,,,
927,Ocala,MARION,SHELTER,RISK,577,No,Yes, , ,-82.19823596, 29.08588199,,,,
928,Ocala,MARION,SHELTER,RISK,326,No,Yes, , ,-82.13598399, 29.21699302,,,,
929,Ocala,MARION,SHELTER,RISK,326,No,Yes, , ,-82.19502100, 29.08699800,,,,
930,Fort McCoy,MARION,SHELTER,RISK,279,No,Yes, , ,-81.97067601, 29.38480798,,,,
931,Ocala,MARION,SHELTER,RISK,629,No,Yes, , ,-82.25181083, 29.15285490,,,,
932,Ocala,MARION,SHELTER,RISK,297,No,Yes, , ,-82.19502100, 29.08699800,,,,
933,Dunnellon,MARION,SHELTER,RISK,318,No,Yes, , ,-82.41631196, 29.07834498,,,,
934,Ocala,MARION,SHELTER,RISK,1198,No,Yes, , ,-82.15196702, 29.19076600,,,,
935,Dunnellon,MARION,SHELTER,RISK,203,No,Yes, , ,-82.41631196, 29.07834498,,,,
936,Ocala,MARION,SHELTER,RISK,189,No,Yes, , ,-82.19520900, 29.14940701,,,,
937,Ocala,MARION,SHELTER,RISK,465,No,Yes, , ,-82.06689104, 29.14138100,,,,
938,Belleview,MARION,SHELTER,RISK,522,No,Yes, , ,-82.08668721, 29.06757734,,,,
939,Ocala,MARION,SHELTER,RISK,487,No,Yes, , ,-82.19111897, 29.00479801,,,,
940,Ocala,MARION,SHELTER,RISK,0,No,Yes, , ,-82.19520900, 29.14940701,,,,
941,Ocala,MARION,SHELTER,RISK,0,No,Yes, , ,-82.19520900, 29.14940701,,,,
942,Ocala,MARION,SHELTER,RISK,273,No,Yes, , ,-82.13598399, 29.21699302,,,,
943,Ocala,MARION,SHELTER,RISK,273,No,Yes, , ,-82.13598399, 29.21699302,,,,
944,Ocala,MARION,SHELTER,RISK,483,No,Yes, , ,-82.19823596, 29.08588199,,,,
945,Ocala,MARION,SHELTER,RISK,1060,No,Yes, , ,-82.06689104, 29.14138100,,,,
946,Palm City,MARTIN,SHELTER,RISK,661,No,Yes, , ,-80.29214600, 27.16251802,,,,
947,Palm City,MARTIN,SHELTER,RISK,799,No,Yes, , ,-80.29214600, 27.16251802,,,,
948,Hobe Sound,MARTIN,SHELTER,RISK,321,No,Yes, , ,-80.20399897, 27.09987301,,,,
949,Jensen Beach,MARTIN,SHELTER,RISK,1851,No,Yes, , ,-80.26670600, 27.24066799,,,,
950,Hobe Sound,MARTIN,SHELTER,RISK,238,No,Yes, , ,-80.20307998, 27.09807400,,,,
951,Jensen Beach,MARTIN,SHELTER,RISK,985,No,Yes, , ,-80.26884292, 27.24384832,,,,
952,Indiantown,MARTIN,SHELTER,RISK,517,No,Yes, , ,-80.46172598, 27.02093602,,,,
953,Indiantown,MARTIN,SHELTER,RISK,231,No,Yes, , ,-80.46172598, 27.02093602,,,,
954,Indiantown,MARTIN,SHELTER,RISK,1121,No,Yes, , ,-80.47545202, 27.02107600,,,,
955,Palm City,MARTIN,SHELTER,RISK,803,No,Yes, , ,-80.29214600, 27.16251802,,,,
956,Stuart,MARTIN,SHELTER,RISK,2327,No,Yes, , ,-80.23293297, 27.18920302,,,,
957,Palm City,MARTIN,SHELTER,RISK,311,No,Yes, , ,-80.29214600, 27.16251802,,,,
958,Hobe Sound,MARTIN,SHELTER,RISK,246,No,Yes, , ,-80.20307998, 27.09807400,,,,
959,Jensen Beach,MARTIN,SHELTER,RISK,3447,No,Yes, , ,-80.26670600, 27.24066799,,,,
960,Palm City,MARTIN,SHELTER,RISK,240,No,Yes, , ,-80.29214600, 27.16251802,,,,
961,Indiantown,MARTIN,SHELTER,RISK,80,No,Yes, , ,-80.46172598, 27.02093602,,,,
962,Palm City,MARTIN,SHELTER,RISK,50,No,Yes, , ,-80.29214600, 27.16251802,,,,
963,Hobe Sound,MARTIN,SHELTER,RISK,314,No,Yes, , ,-80.20307998, 27.09807400,,,,
964,Hobe Sound,MARTIN,SHELTER,RISK,152,No,Yes, , ,-80.20307998, 27.09807400,,,,
965,Indiantown,MARTIN,SHELTER,RISK,547,No,Yes, , ,-80.46172598, 27.02093602,,,,
966,Palm City,MARTIN,SHELTER,RISK,77,No,Yes, , ,-80.29214600, 27.16251802,,,,
967,Indiantown,MARTIN,SHELTER,RISK,368,No,Yes, , ,-80.47545202, 27.02107600,,,,
968,Palm City,MARTIN,SHELTER,RISK,2329,No,Yes, , ,-80.31698401, 27.17502101,,,,
969,Indiantown,MARTIN,SHELTER,RISK,398,No,Yes, , ,-80.47545202, 27.02107600,,,,
970,Stuart,MARTIN,SHELTER,RISK,591,No,Yes, ,Yes,-80.23119492, 27.14305032,-80.23119492, 27.14305032,,
971,Stuart,MARTIN,SHELTER,RISK,1300,No,Yes, , ,-80.20839201, 27.14610298,,,,
972,Miami,MIAMI-DADE,SHELTER,RISK,211,No,Yes, , ,-80.21391803, 25.83898298,,,,
973,Hialeah,MIAMI-DADE,SHELTER,RISK,106,No,Yes, , ,-80.33225400, 25.87441199,,,,
974,Miami,MIAMI-DADE,SHELTER,RISK,453,No,Yes, , ,-80.22971096, 25.81632301,,,,
975,Miami Gardens,MIAMI-DADE,SHELTER,RISK,207,D,Yes, , ,-80.19994800, 25.96685499,,,,
976,Miami Gardens,MIAMI-DADE,SHELTER,RISK,190,No,Yes, , ,-80.25530283, 25.94069867,,,,
977,Miami,MIAMI-DADE,SHELTER,RISK,739,C,Yes, , ,-80.17333898, 25.97148302,,,,
978,Doral,MIAMI-DADE,SHELTER,RISK,1214,No,Yes, , ,-80.37661002, 25.81949401,,,,
979,Miami,MIAMI-DADE,SHELTER,RISK,569,No,Yes, , ,-80.38809599, 25.76873601,,,,
980,Miami,MIAMI-DADE,SHELTER,RISK,193,E,Yes, , ,-80.35395198, 25.76995801,,,,
981,Miami,MIAMI-DADE,SHELTER,RISK,1240,No,Yes, , ,-80.33431804, 25.95071501,,,,
982,Miami Lakes,MIAMI-DADE,SHELTER,RISK,324,No,Yes, , ,-80.34576696, 25.90123198,,,,
983,Miami,MIAMI-DADE,SHELTER,RISK,472,E,Yes, , ,-80.44528304, 25.69339900,,,,
984,Miami Lakes,MIAMI-DADE,SHELTER,RISK,176,No,Yes, , ,-80.32829296, 25.91739401,,,,
985,Doral,MIAMI-DADE,SHELTER,RISK,738,No,Yes, , ,-80.37661002, 25.81949401,,,,
986,Miami,MIAMI-DADE,SHELTER,RISK,179,No,Yes, , ,-80.38809599, 25.76873601,,,,
987,Miami,MIAMI-DADE,SHELTER,RISK,170,E,Yes, , ,-80.44200001, 25.67421601,,,,
988,Miami,MIAMI-DADE,SHELTER,RISK,361,C,Yes, , ,-80.17333898, 25.97148302,,,,
